id_venda,id_produto,id_cliente,data_venda,quantidade,preco_unitario,desconto_percent,frete,data_venda_formatada,nome_produto,categoria,preco_custo,nome_cliente,estado,email
1,13,244,2024-01-01,1.0,576.07,0.0,28.53,01/01/2024,Fone,Vestuário,489.55,Ana Paula,RJ,cliente244@email.com
2,35,181,2024-01-02,2.0,656.74,0.0,22.12,02/01/2024,Carregador,Livros,490.26,Carlos José,MG,cliente181@email.com
3,47,85,2024-02-02,5.0,447.75,15.0,27.82,02/02/2024,Mesa,Alimentos,337.22,Pedro  Santos,SP,cliente85@email.com
4,28,155,2024-01-04,3.0,45.31,0.0,25.88,04/01/2024,Ficção Científica Pro,Casa,143.38,Carlos José,SP,cliente155@email.com
5,21,275,2024-01-05,1.0,98.89,10.0,42.94,05/01/2024,Cadeiranan,,118.94,Maria Souza,SP,cliente275@email.com
6,18,23,2024-01-06,2.0,214.03,0.0,32.59,06/01/2024,Camiseta Premium,Alimentos,324.33,Pedro  Santos,MG,cliente23@email.com
7,31,115,2024-02-06,1.0,242.01,0.0,9.44,06/02/2024,Notebook Pro,,476.77,Maria Souza,MG,cliente115@email.com
8,60,299,2024-01-08,1.0,582.69,10.0,3.15,08/01/2024,Camiseta,Eletrônicos,45.39,Ana Paula,MG,cliente299@email.com
9,37,99,2024-03-09,0.0,226.42,15.0,21.22,09/03/2024,Notebook,Eletrônicos,156.32,Carlos José,RJ,cliente99@email.com
10,21,104,2023-12-11,4.0,409.48,5.0,0.78,11/12/2023,Cadeiranan,,118.94,Carlos José,ES,cliente104@email.com
11,14,51,2024-01-11,3.0,197.06,0.0,15.91,11/01/2024,Mesa,Vestuário,245.94,Maria Souza,SP,cliente51@email.com
12,60,112,2024-01-12,1.0,504.72,5.0,18.4,12/01/2024,Camiseta,Eletrônicos,45.39,João Silva,ES,cliente112@email.com
13,23,244,2024-01-13,3.0,320.0,5.0,18.78,13/01/2024,Mesa,Alimentos,288.14,Ana Paula,RJ,cliente244@email.com
