id_cliente,nome_cliente,estado,email
1,Pedro  Santos,RJ,cliente1@email.com
2,Ana Paula,RJ,cliente2@email.com
3,Maria Souza,RJ,cliente3@email.com
4,Maria Souza,SP,cliente4@email.com
6,Maria Souza,MG,cliente6@email.com
7,Carlos José,RJ,cliente7@email.com
8,João Silva,RJ,cliente8@email.com
9,Ana Paula,RJ,cliente9@email.com
11,João Silva,ES,cliente11@email.com
12,Maria Souza,SP,cliente12@email.com
13,Maria Souza,SP,cliente13@email.com
14,João Silva,RJ,cliente14@email.com
16,João Silva,SP,cliente16@email.com
17,Carlos José,SP,cliente17@email.com
18,Carlos José,SP,cliente18@email.com
19,João Silva,SP,cliente19@email.com
20,Carlos José,SP,cliente20@email.com
21,Carlos José,MG,cliente21@email.com
22,Carlos José,SP,cliente22@email.com
23,Pedro  Santos,MG,cliente23@email.com
24,Ana Paula,MG,cliente24@email.com
25,Maria Souza,ES,cliente25@email.com
26,Pedro  Santos,ES,cliente26@email.com
27,Carlos José,SP,cliente27@email.com
28,João Silva,RJ,cliente28@email.com
29,Carlos José,RJ,cliente29@email.com
30,Ana Paula,SP,cliente30@email.com
31,Carlos José,SP,cliente31@email.com
32,João Silva,SP,cliente32@email.com
33,Ana Paula,RJ,cliente33@email.com
34,Carlos José,RJ,cliente34@email.com
35,Ana Paula,ES,cliente35@email.com
36,Maria Souza,SP,cliente36@email.com
37,Maria Souza,MG,cliente37@email.com
39,Ana Paula,RJ,cliente39@email.com
40,João Silva,SP,cliente40@email.com
41,Carlos José,SP,cliente41@email.com
42,Maria Souza,MG,cliente42@email.com
43,Maria Souza,RJ,cliente43@email.com
44,Carlos José,SP,cliente44@email.com
45,Ana Paula,RJ,cliente45@email.com
46,Maria Souza,SP,cliente46@email.com
47,Ana Paula,SP,cliente47@email.com
48,Maria Souza,SP,cliente48@email.com
49,Maria Souza,SP,cliente49@email.com
50,Pedro  Santos,SP,cliente50@email.com
51,Maria Souza,SP,cliente51@email.com
52,João Silva,ES,cliente52@email.com
53,Carlos José,RJ,cliente53@email.com
54,Carlos José,SP,cliente54@email.com
55,Ana Paula,MG,cliente55@email.com
56,Maria Souza,MG,cliente56@email.com
57,João Silva,ES,cliente57@email.com
58,Ana Paula,SP,cliente58@email.com
59,Pedro  Santos,SP,cliente59@email.com
60,Ana Paula,RJ,cliente60@email.com
61,Ana Paula,SP,cliente61@email.com
62,Maria Souza,ES,cliente62@email.com
63,Pedro  Santos,MG,cliente63@email.com
64,Ana Paula,SP,cliente64@email.com
65,João Silva,ES,cliente65@email.com
66,João Silva,SP,cliente66@email.com
67,Carlos José,SP,cliente67@email.com
68,Pedro  Santos,MG,cliente68@email.com
69,Pedro  Santos,RJ,cliente69@email.com
70,Carlos José,SP,cliente70@email.com
71,Ana Paula,RJ,cliente71@email.com
72,Pedro  Santos,RJ,cliente72@email.com
73,João Silva,SP,cliente73@email.com
74,João Silva,SP,cliente74@email.com
75,Maria Souza,ES,cliente75@email.com
76,Pedro  Santos,MG,cliente76@email.com
77,Ana Paula,MG,cliente77@email.com
78,Carlos José,RJ,cliente78@email.com
79,Carlos José,MG,cliente79@email.com
80,Ana Paula,SP,cliente80@email.com
81,Maria Souza,MG,cliente81@email.com
82,Carlos José,SP,cliente82@email.com
