id_cliente,nome_cliente,estado,email
1,Pedro  Santos,RJ,cliente1@email.com
2,Ana Paula,RJ,cliente2@email.com
3,MARIA SOUZA,Rio de Janeiro,cliente3@email.com
4,MARIA SOUZA,S.Paulo,cliente4@email.com
5,Carlos José,RJ,cliente4@email.com
6,MARIA SOUZA,MG,cliente6@email.com
7,Carlos José,RJ,cliente7@email.com
8,João Silva,RJ,cliente8@email.com
9,Ana Paula,RJ,cliente9@email.com
10,Carlos José,ES,cliente9@email.com
11,João Silva,ES,cliente11@email.com
12,MARIA SOUZA,S.Paulo,cliente12@email.com
13,MARIA SOUZA,SP,cliente13@email.com
14,João Silva,RJ,cliente14@email.com
15,MARIA SOUZA,ES,cliente14@email.com
16,João Silva,SP,cliente16@email.com
17,Carlos José,S.Paulo,cliente17@email.com
18,Carlos José,sp,cliente18@email.com
19,João Silva,SP,cliente19@email.com
20,Carlos José,SP,cliente20@email.com
21,Carlos José,Minas Gerais,cliente21@email.com
22,Carlos José,São Paulo,cliente22@email.com
23,Pedro  Santos,Minas Gerais,cliente23@email.com
24,Ana Paula,MG,cliente24@email.com
25,MARIA SOUZA,ES,cliente25@email.com
26,Pedro  Santos,ES,cliente26@email.com
27,Carlos José,São Paulo,cliente27@email.com
28,João Silva,Rio de Janeiro,cliente28@email.com
29,Carlos José,Rio de Janeiro,cliente29@email.com
30,Ana Paula,S.Paulo,cliente30@email.com
31,Carlos José,São Paulo,cliente31@email.com
32,João Silva,SP,cliente32@email.com
33,Ana Paula,Rio de Janeiro,cliente33@email.com
34,Carlos José,RJ,cliente34@email.com
35,Ana Paula,ES,cliente35@email.com
36,MARIA SOUZA,SP,cliente36@email.com
37,MARIA SOUZA,MG,cliente37@email.com
38,Carlos José,RJ,cliente37@email.com
39,Ana Paula,RJ,cliente39@email.com
40,João Silva,São Paulo,cliente40@email.com
41,Carlos José,S.Paulo,cliente41@email.com
42,MARIA SOUZA,MG,cliente42@email.com
43,MARIA SOUZA,Rio de Janeiro,cliente43@email.com
44,Carlos José,São Paulo,cliente44@email.com
45,Ana Paula,Rio de Janeiro,cliente45@email.com
46,MARIA SOUZA,São Paulo,cliente46@email.com
47,Ana Paula,São Paulo,cliente47@email.com
48,MARIA SOUZA,São Paulo,cliente48@email.com
49,MARIA SOUZA,S.Paulo,cliente49@email.com
50,Pedro  Santos,São Paulo,cliente50@email.com
51,MARIA SOUZA,sp,cliente51@email.com
52,João Silva,ES,cliente52@email.com
53,Carlos José,Rio de Janeiro,cliente53@email.com
54,Carlos José,SP,cliente54@email.com
55,Ana Paula,Minas Gerais,cliente55@email.com
56,MARIA SOUZA,MG,cliente56@email.com
57,João Silva,ES,cliente57@email.com
58,Ana Paula,S.Paulo,cliente58@email.com
59,Pedro  Santos,SP,cliente59@email.com
60,Ana Paula,RJ,cliente60@email.com
61,Ana Paula,sp,cliente61@email.com
62,MARIA SOUZA,ES,cliente62@email.com
63,Pedro  Santos,Minas Gerais,cliente63@email.com
64,Ana Paula,SP,cliente64@email.com
65,João Silva,ES,cliente65@email.com
66,João Silva,SP,cliente66@email.com
67,Carlos José,sp,cliente67@email.com
68,Pedro  Santos,Minas Gerais,cliente68@email.com
69,Pedro  Santos,RJ,cliente69@email.com
