id_cliente,nome_cliente,estado,email,id_venda,id_produto,data_venda,quantidade,preco_unitario,desconto_percent,frete,data_venda_formatada,nome_produto,categoria,preco_custo
1,Pedro  Santos,RJ,cliente1@email.com,103.0,66.0,2024-04-12,3.0,443.43,0.0,49.03,12/04/2024,Feijão Premium,Alimentos,30.13
1,Pedro  Santos,RJ,cliente1@email.com,522.0,66.0,2025-06-05,2.0,16.21,0.0,41.47,05/06/2025,Feijão Premium,Alimentos,30.13
1,Pedro  Santos,RJ,cliente1@email.com,1177.0,50.0,2027-03-22,4.0,28.16,5.0,28.51,22/03/2027,Notebook,Eletrônicos,151.17
2,Ana Paula,RJ,cliente2@email.com,40.0,999.0,2024-02-09,2.0,527.01,0.0,39.07,09/02/2024,,,
2,Ana Paula,RJ,cliente2@email.com,855.0,28.0,2026-07-03,1.0,268.24,10.0,45.07,03/07/2026,Ficção Científica Pro,Livros,143.38
3,Maria Souza,RJ,cliente3@email.com,351.0,28.0,2025-01-15,3.0,230.04,0.0,9.68,15/01/2025,Ficção Científica Pro,Livros,143.38
3,Maria Souza,RJ,cliente3@email.com,754.0,76.0,2026-01-23,2.0,466.88,10.0,27.67,23/01/2026,Cadeira,Moveis,430.9
4,Maria Souza,SP,cliente4@email.com,594.0,71.0,2025-08-16,6.0,51.3,15.0,13.81,16/08/2025,Fone,Eletrônicos,337.65
4,Maria Souza,SP,cliente4@email.com,738.0,28.0,2026-01-07,3.0,377.05,0.0,37.92,07/01/2026,Ficção Científica Pro,Livros,143.38
6,Maria Souza,MG,cliente6@email.com,208.0,49.0,2024-07-26,3.0,554.19,15.0,28.14,26/07/2024,Cadeira,Moveis,130.81
6,Maria Souza,MG,cliente6@email.com,1067.0,27.0,2026-12-02,1.0,125.32,5.0,22.21,02/12/2026,Smartphone,Eletrônicos,237.62
6,Maria Souza,MG,cliente6@email.com,1070.0,74.0,2026-12-05,3.0,137.3,0.0,43.58,05/12/2026,Smartphone,Eletrônicos,491.01
6,Maria Souza,MG,cliente6@email.com,1095.0,18.0,2026-12-30,3.0,97.51,0.0,48.69,30/12/2026,Camiseta Premium,Vestuário,324.33
6,Maria Souza,MG,cliente6@email.com,1096.0,70.0,2026-12-01,1.0,561.24,20.0,1.96,01/12/2026,Carregador,Eletrônicos,222.04
7,Carlos José,RJ,cliente7@email.com,335.0,77.0,2025-01-29,4.0,696.41,0.0,25.7,29/01/2025,Feijão,Alimentos,128.87
